clave,nombre,estado,municipio,latitud,longitud,pga_g,lluvia_diseno_100a_mm,poblacion_30km,percentil_sismico,percentil_hidrologico,percentil_poblacional,indice_prioridad
CHICP,"Manuel Moreno Torres, Chis.",Chiapas,Osumacinta,16.941667,-93.100556,0.5239411323888649,111.69722255029218,861896,93.33333333333333,83.80952380952381,88.09523809523809,88.33333333333333
LCAVC,"La Cangrejera, Ver.",Veracruz de Ignacio de la Llave,Coatzacoalcos,18.109444,-94.330833,0.31763845527220197,154.3413679895171,609313,85.71428571428571,97.14285714285714,83.80952380952381,87.61904761904762
CRRBN,"El Carrizo, B.C.",Baja California,Tijuana,32.479444,-116.696944,0.16125907991783686,81.35312567304658,2143784,66.66666666666666,68.33333333333333,96.66666666666667,82.08333333333334
SOLPB,"La Soledad, Pue.",Puebla,Tlatlauquitepec,19.960833,-97.446667,0.1711883,133.66293573223723,662041,68.57142857142857,89.04761904761904,85.23809523809524,82.02380952380952
BDDPB,"Manuel Ávila Camacho, Pue.",Puebla,Puebla,18.9125,-98.108611,0.3028338728267355,56.78792877283958,2766289,84.76190476190476,45.23809523809524,98.57142857142858,81.78571428571429
ALRBN,"Abelardo L. Rodríguez, B.C.",Baja California,Tijuana,32.444722,-116.908333,0.1437333999174844,81.35312567304658,2307356,61.904761904761905,68.33333333333333,98.09523809523809,81.60714285714286
VILMC,"José María Morelos y Pavón, Mich.",Michoacán de Ocampo,Lázaro Cárdenas,18.048333,-102.180278,0.7347310999999952,155.28386061583,301374,100.0,97.61904761904762,64.28571428571429,81.54761904761905
SNLSI,"Sanalona, Sin.",Sinaloa,Culiacán,24.815,-107.151389,0.09893004570160878,147.6722961721315,833338,48.57142857142857,96.42857142857143,87.61904761904762,80.05952380952381
ELZBN,"Emilio López Zamora, B.C.",Baja California,Ensenada,31.890278,-116.6025,0.26110445211839745,92.8279111020284,502310,80.95238095238095,74.28571428571429,78.0952380952381,77.85714285714286
COIMC,"Coíntzio, Mich.",Michoacán de Ocampo,Morelia,19.629722,-101.259167,0.27090779999999987,57.25826803365726,1013308,82.85714285714286,45.714285714285715,90.95238095238095,77.61904761904762
CDOOX,"Miguel de la Madrid Hurtado, Oax.",Oaxaca,San Lucas Ojitlán,17.999167,-96.263611,0.3536674011015845,123.51887926801581,322357,87.61904761904762,86.42857142857143,67.61904761904762,77.32142857142857
LDCVC,"Canseco, Ver.",Veracruz de Ignacio de la Llave,Catemaco,18.415833,-95.118333,0.25283280000009767,168.43818780357518,272915,80.0,98.57142857142858,61.42857142857143,75.35714285714286
LLAHD,"La Laguna, Hgo.",Puebla,Acaxochitlán,20.135556,-98.128333,0.0913091299231712,96.78033278518495,610019,46.19047619047619,76.42857142857142,84.76190476190476,73.03571428571428
LBCNL,"Rodrigo Gómez, N.L.",Nuevo León,Santiago,25.428056,-100.128056,0.03927742,147.06755217066842,606118,28.095238095238095,95.71428571428572,83.33333333333334,72.61904761904762
TMPTP,"Tampico, Tamps.",Tamaulipas,Tampico,22.238333,-97.876111,0.028205419999986252,143.6537047703062,771015,22.857142857142858,94.28571428571428,86.19047619047619,72.38095238095238
SJATL,"San José Atlanga, Tlax.",Tlaxcala,Atlangatepec,19.556111,-98.200556,0.15854437024457216,66.45574113161268,590416,65.23809523809524,58.0952380952381,82.85714285714286,72.26190476190476
RMEGR,"Revolución Mexicana, Gro.",Guerrero,Ayutla de los Libres,16.823611,-99.166111,0.716303199890093,140.3089945308231,159730,99.52380952380952,92.85714285714286,47.61904761904761,71.9047619047619
LDACM,"Laguna de Amela, Col.",Colima,Tecomán,18.809167,-103.774167,0.6450862000216958,146.22239759532624,144427,99.04761904761905,95.23809523809523,46.666666666666664,71.9047619047619
LREHD,"Los Reyes, Hgo.",Puebla,Acaxochitlán,20.174722,-98.131944,0.08837517000000002,96.78033278518495,581613,44.761904761904766,76.42857142857142,82.38095238095238,71.48809523809524
PRGHD,"Javier Rojo Gómez, Hgo.",Hidalgo,Alfajayucan,20.359722,-99.329444,0.5186114999966883,70.96696839455552,309076,92.85714285714286,62.38095238095238,65.23809523809524,71.42857142857143
JDMOX,"Presidente Benito Juárez, Oax.",Oaxaca,Santa María Jalapa del Marqués,16.445556,-95.397778,0.5754895181771319,168.6551588544278,122175,97.61904761904762,99.04761904761905,43.80952380952381,71.07142857142858
RODMR,"El Rodeo, Mor.",Morelos,Miacatlán,18.765278,-99.331389,0.4245941674222764,43.62001790159091,1270297,90.47619047619048,3.3333333333333335,94.28571428571428,70.59523809523809
TEMOX,"Presidente Alemán, Oax.",Oaxaca,San Miguel Soyaltepec,18.232222,-96.412222,0.34846324413691976,123.51887926801581,215845,87.14285714285714,86.42857142857143,52.85714285714286,69.82142857142857
ARLSO,"Abelardo Rodríguez Lujan, Son.",Sonora,Hermosillo,29.076667,-110.92,0.06866717597699243,80.59801693438725,821100,37.61904761904762,67.38095238095238,86.66666666666667,69.58333333333334
GUAMC,"Guaracha, Mich.",Michoacán de Ocampo,Villamar,19.979167,-102.541389,0.21042827487013951,57.98185581688091,520036,74.28571428571429,46.666666666666664,78.57142857142857,69.52380952380952
PMOSO,"Ing. Rodolfo Félix Valdés, Son.",Sonora,Hermosillo,29.2125,-110.725556,0.05703562462932402,80.59801693438725,827835,33.80952380952381,67.38095238095238,87.14285714285714,68.86904761904762
PVAHD,"Vicente Aguirre, Hgo.",Hidalgo,Alfajayucan,20.435556,-99.375833,0.4678747299832384,70.96696839455552,261409,92.38095238095238,62.38095238095238,60.0,68.69047619047619
NEXPB,"Nexapa, Pue.",Puebla,Tlaola,20.168333,-97.984722,0.08745711246185266,96.78033278518495,494372,43.333333333333336,76.42857142857142,77.14285714285715,68.51190476190476
EPLGJ,"El Palote, Gto.",Guanajuato,León,21.173611,-101.678889,0.06938692,56.13298301316253,1939826,38.095238095238095,43.333333333333336,96.19047619047619,68.45238095238095
PMDMX,"Madín, Méx.",México,Naucalpan de Juárez,19.526944,-99.260833,0.20223821693560265,40.36984116774157,28444261,71.9047619047619,0.9523809523809524,100.0,68.21428571428571
TENPB,"Tenango, Pue.",Puebla,Huauchinango,20.199444,-97.983333,0.0828280651473701,96.78033278518495,495851,40.95238095238095,76.42857142857142,77.61904761904762,68.1547619047619
PIRMX,"Ignacio Ramírez, Méx.",México,Almoloya de Juárez,19.461667,-99.775,0.23686199999999996,43.80853646204976,1754204,78.0952380952381,4.523809523809524,94.76190476190476,68.03571428571428
HRTJL,"Hurtado, Jal.",Jalisco,Acatlán de Juárez,20.466944,-103.651111,0.14883080100919935,60.23310416220162,544155,63.8095238095238,50.23809523809524,79.04761904761905,68.03571428571428
SBBMX,"José Antonio Alzate, Méx.",México,Temoaya,19.465833,-99.704722,0.2318303000001285,43.80853646204976,1911155,76.19047619047619,4.523809523809524,95.23809523809523,67.79761904761904
GDLMX,"Sierra de Guadalupe, Méx.",México,Cuautitlán Izcalli,19.635556,-99.252222,0.18616389952804377,40.36984116774157,23211025,70.47619047619048,0.9523809523809524,99.52380952380952,67.61904761904762
PERHD,"La Esperanza, Hgo.",Hidalgo,Cuautepec de Hinojosa,20.0575,-98.334722,0.1013235,96.78033278518495,378597,49.047619047619044,76.42857142857142,71.9047619047619,67.32142857142856
NNEPB,"Necaxa, Pue.",Puebla,Juan Galindo,20.216667,-98.000556,0.08348836017174514,96.78033278518495,449929,41.904761904761905,76.42857142857142,75.23809523809524,67.20238095238095
